the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.93913254675704 -37.81595118177078),"1,226",Docklands:  Promotional Sites:  4.New Quay Promenade West,Docklands,Promotional Sites,4.New Quay Promenade West,Y,Y,,N,N,,,N,N,N,"593,731","23,297","604,303",21.63246747,133
POINT (144.94771155926824 -37.80606674183848),369,"Other Park Locations:  Hawke, Miller & Curzon St",Other Park Locations,"Hawke, Miller & Curzon St",,Y,Y,,N,N,L,,N,N,N,"110,906",0,"110,906",8.84776937,328
POINT (144.97640202807304 -37.81363858190839),298,Treasury Gardens:  TG - Lawn 5/JFK Memorial,Treasury Gardens,TG - Lawn 5/JFK Memorial,,Y,Y,,N,Y,M,,N,N,N,"108,996",0,"109,545",85.55440357,118
POINT (144.9769888623327 -37.82544855256293),199,Kings Domain:  KD - Grotto,Kings Domain,KD - Grotto,,Y,Y,,N,N,M,,N,N,N,"108,615",0,0,0,0
POINT (144.97357416146477 -37.81809223608963),408,Birrarung Marr:  BM - Upper Terrace,Birrarung Marr,BM - Upper Terrace,,Y,Y,,N,N,H,,N,N,N,"573,368",0,"586,155",30.18759601,174
POINT (144.9725910031422 -37.80961913141845),361,Other Park Locations:  Gillott Reserve,Other Park Locations,Gillott Reserve,,Y,Y,,N,N,L,,N,N,N,"105,667",0,"105,667",14.50985324,217
POINT (144.97400108745657 -37.8256038979912),181,Kings Domain:  KD - Lawn 6,Kings Domain,KD - Lawn 6,,Y,Y,,N,Y,M,,N,N,N,"108,615",0,"529,525",87.8359753,41
POINT (144.96288089932796 -37.80241985976288),377,Other Park Locations:  Lincoln Square - includes Bali Memorial,Other Park Locations,Lincoln Square - includes Bali Memorial,,Y,Y,,Y,N,L,,Y,N,N,"101,264",0,"621,145",82.9730718,341
POINT (144.98183534800913 -37.83985718618082),"1,355",Fawkner Park:  FP - Northern Pavilion East,Fawkner Park,FP - Northern Pavilion East,,Y,N,,N,N,M,Y,N,N,N,"103,756",0,"587,543",3.99128603,111
POINT (144.9818422834418 -37.81106886037066),112,Fitzroy Gardens:  FT - Lawn 7,Fitzroy Gardens,FT - Lawn 7,,Y,Y,,Y,Y,M,,N,N,N,"103,807",0,0,0,0
POINT (144.97510003291222 -37.82584897603365),197,Kings Domain:  KD - Lawn 7/Gazebo,Kings Domain,KD - Lawn 7/Gazebo,,Y,Y,,N,Y,M,,N,N,N,"108,615",0,"529,524",84.90757598,104
POINT (144.98036176101897 -37.84207961445361),74,Fawkner Park:  FP - Lawn 19 South_ T4_Ct5_S6,Fawkner Park,FP - Lawn 19 South_ T4_Ct5_S6,,Y,N,,N,N,M,Y,N,N,Y,"103,756",0,0,0,0
POINT (144.97091499439267 -37.82045612204152),6,Alexandra Gardens:  AG - Star Lawn,Alexandra Gardens,AG - Star Lawn,,Y,Y,,Y,N,H,,N,N,N,"101,101",0,"503,004",91.31570746,336
POINT (144.9612333391193 -37.78788013831968),212,Princes Park:  PP -  S3,Princes Park,PP -  S3,,Y,N,,N,N,M,Y,N,N,N,"107,696",0,0,0,0
POINT (144.97316890836038 -37.825622187644704),180,Kings Domain:  KD - Lawn 5,Kings Domain,KD - Lawn 5,,Y,Y,,N,Y,M,,N,N,N,"108,615",0,0,0,0
POINT (144.94493155458156 -37.81836832504971),"1,313",Docklands:  All Other Spaces:  Victoria Harbour Promenade East,Docklands,All Other Spaces,Victoria Harbour Promenade East,Y,Y,,N,N,,,N,N,N,"611,788","23,299","611,784",98.94673731,198
POINT (144.98130980829364 -37.81511693244376),135,Fitzroy Gardens:  FT - Lawn 29,Fitzroy Gardens,FT - Lawn 29,,Y,N,,N,Y,M,,N,N,N,"103,807",0,0,0,0
POINT (144.97167207484955 -37.8062220021546),35,Carlton Gardens:  CG - Lawn 17,Carlton Gardens,CG - Lawn 17,,Y,N,,N,Y,L,,N,N,N,"108,268",0,"546,082",72.92859882,223
POINT (144.98125044044048 -37.84409411042584),93,Fawkner Park:  FP - Lawn 20 East_T5_T7_M2_Ct4,Fawkner Park,FP - Lawn 20 East_T5_T7_M2_Ct4,,Y,N,,N,N,M,Y,N,N,Y,"103,756",0,0,0,0
POINT (144.97202512594478 -37.823845823878564),177,Kings Domain:  KD - Lawn 3,Kings Domain,KD - Lawn 3,,Y,Y,,Y,N,M,,N,N,N,"108,615",0,0,0,0
POINT (144.97209370154812 -37.82222654478082),234,Queen Victoria Gardens:  QV - Lawn 8/Janet Lady Clarke Rotunda,Queen Victoria Gardens,QV - Lawn 8/Janet Lady Clarke Rotunda,,Y,Y,,N,Y,L,,N,N,N,"111,022",0,"111,022",97.14148642,159
POINT (144.98229287122496 -37.81257102411102),140,Fitzroy Gardens:  FT- Lawn 18/Temple of the Winds,Fitzroy Gardens,FT- Lawn 18/Temple of the Winds,,Y,N,,N,Y,M,,N,N,N,"103,807",0,"102,006",96.01036777,339
POINT (144.97631903062583 -37.83686941272227),399,Other Park Locations:  Toorak & St Kilda Road,Other Park Locations,Toorak & St Kilda Road,,Y,Y,,N,N,L,,N,N,N,"587,425",0,"109,540",31.95759795,48
POINT (144.97272275612292 -37.80655618975174),39,Carlton Gardens:  CG - Lawn 21,Carlton Gardens,CG - Lawn 21,,Y,N,,N,Y,L,,N,N,N,"108,268",0,0,0,0
POINT (144.94447700468683 -37.8152469130705),"1,224",Docklands:  Promotional Sites:  2.Harbour Esplanade North,Docklands,Promotional Sites,2.Harbour Esplanade North,Y,Y,,N,N,,,N,N,N,"611,785","22,452","611,785",15.01484336,20
POINT (144.98237744450677 -37.84179927057013),62,Fawkner Park:  FP - Lawn 16 North East_SB5_Cs5,Fawkner Park,FP - Lawn 16 North East_SB5_Cs5,,Y,N,,N,N,M,Y,N,N,N,"103,756",0,0,0,0
POINT (144.9716331365811 -37.821741117796826),227,Queen Victoria Gardens:  QV - Lawn 6,Queen Victoria Gardens,QV - Lawn 6,,Y,Y,,N,Y,L,,N,N,N,"111,022",0,"111,022",51.75918514,200
POINT (144.95138817821424 -37.80722985858516),355,Other Park Locations:  Eades Park,Other Park Locations,Eades Park,,Y,Y,,N,N,L,,Y,N,N,"103,031",0,"511,025",28.88152155,240
POINT (144.91570500420156 -37.79509438558714),"1,372",Other Park Locations:  Riverside Park,Other Park Locations,Riverside Park,,Y,Y,,N,N,L,,N,N,N,"102,249",0,0,0,0
POINT (144.97695462618063 -37.81472178562492),297,Treasury Gardens:  TG - Lawn 7,Treasury Gardens,TG - Lawn 7,,Y,Y,,N,Y,M,,N,N,N,"108,996",0,"531,039",81.34633198,60
POINT (144.97906793552542 -37.81298697778184),121,Fitzroy Gardens:  FT - Lawn 16/Plane Trees Walk,Fitzroy Gardens,FT - Lawn 16/Plane Trees Walk,,Y,Y,,N,Y,M,,N,N,N,"103,807",0,0,0,0
POINT (144.96152285042714 -37.78533714442047),204,Princes Park:  PP - Jogging Track,Princes Park,PP - Jogging Track,,Y,N,,N,N,M,Y,N,N,Y,"107,696",0,0,0,0
POINT (144.9530654381132 -37.77810073831752),272,Royal Park:  RP - Lawn 9_Western Ct_F1_L1_L2,Royal Park,RP - Lawn 9_Western Ct_F1_L1_L2,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.9558837698553 -37.781385849986435),284,Royal Park:  RP - Poplar Pavilion,Royal Park,RP - Poplar Pavilion,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,"110,274",6.46392703,302
POINT (144.94591426383275 -37.8185275492596),"1,394",Docklands:  All Other Spaces:  NAB forecourt,Docklands,All Other Spaces,NAB forecourt,Y,Y,,N,N,,,N,N,N,"611,788","23,299","600,824",67.23392979,13
POINT (144.98221959000998 -37.81421592609631),125,Fitzroy Gardens:  FT - Lawn 20,Fitzroy Gardens,FT - Lawn 20,,Y,N,,N,Y,M,,N,N,N,"103,807",0,"102,010",74.99067918,353
POINT (144.97311873626808 -37.82085534193359),8,Alexandra Gardens:  AG - Dorchester Lawn,Alexandra Gardens,AG - Dorchester Lawn,,Y,Y,,N,N,H,,N,N,N,"101,101",0,"503,001",24.78418123,199
POINT (144.97922588127173 -37.81366726003603),128,Fitzroy Gardens:  FT - Lawn 23,Fitzroy Gardens,FT - Lawn 23,,Y,N,,N,Y,M,,N,N,N,"103,807",0,"111,454",75.69132777,219
POINT (144.96740800459668 -37.81680770194005),390,Other Park Locations:  St Paul's Cathedral,Other Park Locations,St Paul's Cathedral,,Y,N,,N,N,L,,N,N,N,"110,760",0,"531,607",37.59494902,200
POINT (144.96202212305715 -37.82105703258188),"1,210",Promotional Spaces:  Queensbridge Square,Promotional Spaces,Queensbridge Square,,Y,Y,,N,N,,,N,N,N,"573,923","22,909","596,471",43.7550729,208
POINT (144.98007344833556 -37.810716928218625),109,Fitzroy Gardens:  FT - Lawn 4,Fitzroy Gardens,FT - Lawn 4,,Y,Y,,Y,Y,M,,N,N,N,"103,807",0,"100,358",92.41920853,94
POINT (144.9442602128394 -37.7835554018556),279,Royal Park:  RP - Ross Straw Pavilion,Royal Park,RP - Ross Straw Pavilion,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,"622,034",1.92265838,347
POINT (144.94502698055896 -37.820333013933215),"1,335",Docklands:  Parks:  Victoria Green,Docklands,Parks,Victoria Green,Y,Y,,N,N,L,N,N,N,N,"622,440",0,"638,117",35.46487353,97
POINT (144.97065806608953 -37.82274632124668),235,Queen Victoria Gardens:  QV - Lawn 11/Floral Clock,Queen Victoria Gardens,QV - Lawn 11/Floral Clock,,Y,N,,N,Y,L,,N,N,N,"111,022",0,0,0,0
POINT (144.94671143397167 -37.82080116244484),"1,221",Docklands:  Parks:  Docklands Park,Docklands,Parks,Docklands Park,Y,Y,,N,N,L,N,Y,N,N,"592,862",0,"588,912",72.76344912,17
POINT (144.976067122562 -37.82511501234561),198,Kings Domain:  KD - Pioneer Women's Memorial,Kings Domain,KD - Pioneer Women's Memorial,,Y,Y,,N,Y,M,,N,N,N,"108,615",0,0,0,0
POINT (144.9740936152342 -37.79315160624854),348,Other Park Locations:  Canning St Reserve (Neill St),Other Park Locations,Canning St Reserve (Neill St),,Y,Y,,N,N,L,,N,N,N,"106,893",0,"580,223",11.21226994,279
POINT (144.98909111672506 -37.81282564886206),354,Other Park Locations:  Darling Square,Other Park Locations,Darling Square,,Y,Y,,N,N,L,,N,N,N,"102,411",0,"102,411",40.2685501,353
POINT (144.96131042982304 -37.78069121952157),218,Princes Park:  PP - Lawn 5 (DOG OFF LEASH),Princes Park,PP - Lawn 5 (DOG OFF LEASH),,Y,Y,,N,N,M,N,N,N,Y,"107,696",0,0,0,0
POINT (144.97217670047405 -37.82043882334664),7,Alexandra Gardens:  AG - Lawn5/Engineers Lawn,Alexandra Gardens,AG - Lawn5/Engineers Lawn,,Y,Y,,N,N,H,,N,N,N,"101,101",0,"503,004",49.28361121,236
POINT (144.98373298006237 -37.840740868214844),60,Fawkner Park:  FP - Lawn 14_SUB2_Grass Netball Courts,Fawkner Park,FP - Lawn 14_SUB2_Grass Netball Courts,,Y,Y,,N,N,M,Y,Y,N,N,"103,756",0,0,0,0
POINT (144.94267439979842 -37.82348746663394),"1,227",Docklands:  Promotional Sites:  5.Yarra's Edge (River Esplanade),Docklands,Promotional Sites,5.Yarra's Edge (River Esplanade),Y,Y,,N,N,,,N,N,N,"611,697",0,"663,770",38.02059687,315
POINT (144.97562787226252 -37.82368258126105),183,Kings Domain:  KD - Lawn 8,Kings Domain,KD - Lawn 8,,Y,Y,,N,N,M,,N,N,N,"108,615",0,0,0,0
POINT (144.96941128927938 -37.82000845635013),419,Alexandra Gardens:  AG - Lawn2/Peppercorn Lawn,Alexandra Gardens,AG - Lawn2/Peppercorn Lawn,,Y,Y,,Y,N,H,,N,N,N,"101,101",0,0,0,0
POINT (144.9760041522687 -37.81495896271758),294,Treasury Gardens:  TG - Lawn 4,Treasury Gardens,TG - Lawn 4,,Y,Y,,N,Y,M,,N,N,N,"108,996",0,0,0,0
POINT (144.94071830480414 -37.820390798392886),"1,627",Docklands:  Parks:  Buluk Park,Docklands,Parks,Buluk Park,Y,Y,,N,N,L,N,N,N,N,"651,910",0,"651,910",36.44455572,308
POINT (144.9639539668349 -37.81016918630516),542,Promotional Spaces:  Melbourne Central Station - Swanston Street,Promotional Spaces,Melbourne Central Station - Swanston Street,,Y,N,,N,N,,,N,N,N,0,"20,161","532,307",18.70816243,279
POINT (144.98224942953067 -37.81325219530026),124,Fitzroy Gardens:  FT - Lawn 19,Fitzroy Gardens,FT - Lawn 19,,Y,Y,,Y,Y,M,,N,N,N,"103,807",0,"111,456",85.63768375,173
POINT (144.97160935341145 -37.82501390648506),420,Tom's Block:  Tom's Block,Tom's Block,Tom's Block,,Y,Y,,Y,N,M,,N,N,N,"108,615",0,0,0,0
POINT (144.9543185279741 -37.81054114458603),154,Flagstaff Gardens:  FG - Lawn 7/Outdoor Stage,Flagstaff Gardens,FG - Lawn 7/Outdoor Stage,,Y,Y,,N,Y,M,,N,N,N,"102,942",0,"102,941",98.30666989,45
POINT (144.9574659757651 -37.7888362464939),352,Other Park Locations:  Clunies Ross Reserve (The Avenue),Other Park Locations,Clunies Ross Reserve (The Avenue),,Y,Y,,N,N,L,,N,N,N,"110,940",0,"110,940",39.4869707,264
POINT (144.93911928904672 -37.796358453208505),351,Other Park Locations:  Clayton Reserve,Other Park Locations,Clayton Reserve,,Y,Y,,N,N,L,,N,N,Y,"106,339",0,"106,339",42.40450422,64
POINT (144.9685428864335 -37.82575943488854),364,Other Park Locations:  Grant St Reserve,Other Park Locations,Grant St Reserve,,Y,Y,,N,N,L,,N,N,N,0,"22,824","108,656",8.22487985,5
POINT (144.9729865712068 -37.80165263164489),21,Carlton Gardens:  CG - Lawn 3,Carlton Gardens,CG - Lawn 3,,Y,N,,N,Y,L,,N,N,N,"108,269",0,"101,736",73.72515164,83
POINT (144.96588887966234 -37.80243730306906),"1,362",Other Park Locations:  Argyle Square Stage Only,Other Park Locations,Argyle Square Stage Only,,Y,Y,,N,N,L,,N,N,N,"106,097",0,"100,575",61.96847942,83
POINT (144.97349935358883 -37.80982526738648),418,Other Park Locations:  Parliament Reserve,Other Park Locations,Parliament Reserve,,Y,Y,,N,N,L,,N,N,N,"106,982",0,"106,982",45.92665311,59
POINT (144.9602987202407 -37.800998173908575),400,Other Park Locations:  University Square,Other Park Locations,University Square,,Y,Y,,Y,N,L,,N,N,N,"107,552",0,"502,486",65.5112548,169
POINT (144.95524934044755 -37.82664251858025),382,Other Park Locations:  Normanby Road Reserve,Other Park Locations,Normanby Road Reserve,,Y,Y,,N,N,L,,N,N,N,"624,055",0,"624,055",14.63335226,58
