the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.98078613765418 -37.81528866843271),134,Fitzroy Gardens:  FT- Lawn 28,Fitzroy Gardens,FT- Lawn 28,,Y,N,,Y,Y,M,,N,N,N,"103,807",0,"111,452",80.84212407,213
POINT (144.9427921184255 -37.78398401734769),264,Royal Park:  RP - Ross Straw Field B1 East,Royal Park,RP - Ross Straw Field B1 East,,Y,N,,N,N,L,Y,Y,N,N,"107,426",0,0,0,0
POINT (144.95380005501625 -37.79092904752804),237,Royal Park:  RP - Lawn 2_Native Grassland,Royal Park,RP - Lawn 2_Native Grassland,,Y,N,,N,N,L,N,N,N,Y,"107,426",0,0,0,0
POINT (144.9648893222214 -37.82135320112914),388,Other Park Locations:  Riverside Quay Reserve,Other Park Locations,Riverside Quay Reserve,,Y,Y,,N,N,L,,N,N,N,"611,806",0,"611,806",12.28439378,100
POINT (144.977830455731 -37.8176183608617),403,Other Park Locations:  Wellington Crescent,Other Park Locations,Wellington Crescent,,Y,Y,,N,N,L,,N,N,N,0,"21,971",0,0,0
POINT (144.9567311803712 -37.781114702461835),274,Royal Park:  RP - Lawn 14_Poplar Cs_S2,Royal Park,RP - Lawn 14_Poplar Cs_S2,,Y,N,,N,N,L,Y,N,N,Y,"107,426",0,"110,274",79.76690737,208
POINT (144.97288564656475 -37.823686748198114),176,Kings Domain:  KD - Lawn 2,Kings Domain,KD - Lawn 2,,Y,Y,,N,N,M,,N,N,N,"108,615",0,0,0,0
POINT (144.9658350877282 -37.802740302401325),"1,214",Promotional Spaces:  Piazza Italia,Promotional Spaces,Piazza Italia,,Y,Y,,N,N,,,N,N,N,"106,097",0,"106,097",53.1618369,335
POINT (144.97923176374886 -37.81146168205138),117,Fitzroy Gardens:  FT - Lawn 12,Fitzroy Gardens,FT - Lawn 12,,Y,N,,N,Y,M,,N,N,N,"103,807",0,0,0,0
POINT (144.9697226042961 -37.80623668386974),28,Carlton Gardens:  CG - Lawn 10/Dalai Lama Peace Garden,Carlton Gardens,CG - Lawn 10/Dalai Lama Peace Garden,,Y,Y,,N,Y,L,,N,N,N,"108,268",0,"108,154",78.56806687,164
