,index,name,female,male,wheelchair,operator,baby_facil,lat,lon,distance
64,10,Public Toilet - Toilet 107 - Alexandra Park,yes,yes,yes,City of Melbourne,no,-37.82764304616528,144.98181166075952,196.26275014253233
65,17,Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),yes,yes,yes,City of Melbourne,no,-37.79373229128235,144.93035186163308,199.68313443675544
66,51,"Public Toilet - Toilet 162 - JJ Holland Park (Opposite, 48 Altona Street)",yes,yes,yes,City of Melbourne,no,-37.798125461506075,144.92642466756246,213.451111455485
67,53,Public Toilet - Toilet 103 - Kings Domain South (Opposite 169 Domain Road),yes,yes,yes,City of Melbourne,no,-37.83393826633729,144.98178404635058,225.0904371642321
68,25,"Public Toilet - Toilet 173 - JJ Holland Park, Skate Park (113 Kensington Road)",yes,yes,yes,City of Melbourne,no,-37.798064023886866,144.92110584392117,246.25204694700938
69,34,Public Toilet - Newmarket Reserve (26 Smithfield Road),yes,yes,no,City of Melbourne,no,-37.78848882114304,144.92356372197432,253.1873262824043
70,44,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Female)",yes,no,no,City of Melbourne,no,-37.84001779326322,144.9812270146221,253.95996085000695
71,23,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Male)",no,yes,no,City of Melbourne,no,-37.840147692965054,144.98138308753738,255.19767998408975
72,55,"Public Toilet - Toilet 44 - Fawkner Park, Opposite 150W Toorak Road",yes,yes,yes,City of Melbourne,no,-37.83825284124979,144.9843892199417,256.7861470195053
73,47,"Public Toilet - Toilet 42 - Fawkner Park, Opposite 55 Commercial Road",yes,yes,yes,City of Melbourne,no,-37.845206563009405,144.9826144313013,286.5274082799831
