water_id,poi_id,Description,lat,lon,distance
301,101,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - North Melbourne Recreation Reserve,-37.79922710932603,144.94028139112405,7.83989274951675
302,101,Drinking fountain - unspecified type - Gardiner Reserve,-37.7989933421049,144.94335952463908,12.147567454477256
303,101,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Gardiner Reserve,-37.79889823757444,144.94401837483926,16.291644252662188
304,102,Drinking Fountain - Leaf Type - Dog Bowl  - JJ Holland Park,-37.79841970759794,144.92421993826412,2.6979588687567557
305,102,Drinking fountain - Historic or Heritage Drinking Fountains - JJ Holland Park,-37.797455162858206,144.92349296059965,5.437364762503838
306,102,Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,-37.798130093325604,144.92171759711218,13.46865390006803
307,103,Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,-37.78972452756684,144.95542692736785,11.60891065239877
308,103,Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,-37.79166434549512,144.95175691050537,14.78664238416412
309,103,Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,-37.79148137934659,144.95640337310826,17.22204539910592
310,104,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,-37.787145044550506,144.95944649397603,10.633758367283724
311,104,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Princes Park,-37.7881098191695,144.95949172029708,12.451365574673328
312,104,Drinking Fountain - Treated Timber Drinking Fountain - Princes Park,-37.78866797179563,144.96246173875772,13.570804820099243
313,105,Drinking Fountain - Old Style Steel Drinking Fountain,-37.816927072109706,144.9837045105586,14.303129799253178
314,105,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81649090115357,144.98515748991457,16.01345044773408
315,105,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81734781558377,144.9877967436974,22.296762911395543
316,106,Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,-37.832243003760865,144.97302849826244,3.9434044659409087
317,106,Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,-37.83249800027375,144.97285892460977,5.567105002541791
318,106,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,-37.83081555124981,144.97427512305256,9.004497758267766
319,107,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,-37.83028525455125,144.97264952949166,5.03460269709887
320,107,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,-37.829394894475676,144.97402641133462,6.368360395843649
