,Description,lat,lon,distance
0,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.815185695578855,144.95257756009232,0.0033965192297978433
1,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.8163642527943,144.95539891425878,19.385365676606824
2,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81906773607154,144.95451978482612,27.6441440680848
